"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32961","test_order_form[order_data1-fill_rent_form_black-footer-\u041f\u043e\u043b\u043d\u044b\u0439 \u0441\u0446\u0435\u043d\u0430\u0440\u0438\u0439 \u0437\u0430\u043a\u0430\u0437\u0430 \u0447\u0451\u0440\u043d\u043e\u0433\u043e \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u0430 (\u0447\u0435\u0440\u0435\u0437 \u0444\u0443\u0442\u0435\u0440)]","tests","2025-10-27","broken","2025-10-27","","test_order_form","",""
"","33657","test_order_form[order_data3-fill_rent_form_grey-footer-\u041f\u043e\u043b\u043d\u044b\u0439 \u0441\u0446\u0435\u043d\u0430\u0440\u0438\u0439 \u0437\u0430\u043a\u0430\u0437\u0430 \u0441\u0435\u0440\u043e\u0433\u043e \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u0430 (\u0447\u0435\u0440\u0435\u0437 \u0444\u0443\u0442\u0435\u0440)]","tests","2025-10-27","broken","2025-10-27","","test_order_form","",""
"","2367","test_each_question_opens_answer[7]","tests","2025-10-27","passed","2025-10-27","","test_questions","",""
"","2496","Клик по логотипу 'Яндекс' ведёт на главную страницу Дзена","tests","2025-10-27","passed","2025-10-27","","test_homepage_ui","",""
"","33329","test_order_form[order_data1-fill_rent_form_grey-\u041f\u043e\u043b\u043d\u044b\u0439 \u0441\u0446\u0435\u043d\u0430\u0440\u0438\u0439 \u0437\u0430\u043a\u0430\u0437\u0430 \u0441\u0435\u0440\u043e\u0433\u043e \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u0430]","tests","2025-10-27","broken","2025-10-27","","test_order_form","",""
"","32229","test_order_form_header_button_manual_date[order_data1]","tests","2025-10-18","broken","2025-10-18","","test_order_form","",""
"","2006","Клик по логотипу 'Самокат' ведёт на главную страницу","tests","2025-10-27","passed","2025-10-27","","test_homepage_ui","",""
"","2546","test_each_question_opens_answer[3]","tests","2025-10-27","passed","2025-10-27","","test_questions","",""
"","32639","test_order_form_header_button_manual_date[order_data0]","tests","2025-10-18","broken","2025-10-18","","test_order_form","",""
"","2893","test_each_question_opens_answer[1]","tests","2025-10-27","passed","2025-10-27","","test_questions","",""
"","33758","test_order_form[order_data2-fill_rent_form_grey-header-\u041f\u043e\u043b\u043d\u044b\u0439 \u0441\u0446\u0435\u043d\u0430\u0440\u0438\u0439 \u0437\u0430\u043a\u0430\u0437\u0430 \u0441\u0435\u0440\u043e\u0433\u043e \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u0430 (\u0447\u0435\u0440\u0435\u0437 \u0445\u0435\u0434\u0435\u0440)]","tests","2025-10-27","broken","2025-10-27","","test_order_form","",""
"","2312","Кнопка 'Заказать' в хедере открывает форму заказа","tests","2025-10-27","passed","2025-10-27","","test_homepage_ui","",""
"","2796","test_each_question_opens_answer[4]","tests","2025-10-27","passed","2025-10-27","","test_questions","",""
"","2761","test_each_question_opens_answer[5]","tests","2025-10-27","passed","2025-10-27","","test_questions","",""
"","2572","test_each_question_opens_answer[6]","tests","2025-10-27","passed","2025-10-27","","test_questions","",""
"","33128","test_order_form[order_data0-fill_rent_form_black-header-\u041f\u043e\u043b\u043d\u044b\u0439 \u0441\u0446\u0435\u043d\u0430\u0440\u0438\u0439 \u0437\u0430\u043a\u0430\u0437\u0430 \u0447\u0451\u0440\u043d\u043e\u0433\u043e \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u0430 (\u0447\u0435\u0440\u0435\u0437 \u0445\u0435\u0434\u0435\u0440)]","tests","2025-10-27","broken","2025-10-27","","test_order_form","",""
"","2540","test_each_question_opens_answer[2]","tests","2025-10-27","passed","2025-10-27","","test_questions","",""
"","34045","test_order_form_grey_scooter","tests","2025-10-27","broken","2025-10-27","","test_order_form","",""
"","2694","test_each_question_opens_answer[0]","tests","2025-10-27","passed","2025-10-27","","test_questions","",""
"","2138","Кнопка 'Заказать' в футере открывает форму заказа","tests","2025-10-27","passed","2025-10-27","","test_homepage_ui","",""
"","33513","test_order_form[order_data0-fill_rent_form_black-\u041f\u043e\u043b\u043d\u044b\u0439 \u0441\u0446\u0435\u043d\u0430\u0440\u0438\u0439 \u0437\u0430\u043a\u0430\u0437\u0430 \u0447\u0451\u0440\u043d\u043e\u0433\u043e \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u0430]","tests","2025-10-27","broken","2025-10-27","","test_order_form","",""
"","34371","test_order_form_black_scooter","tests","2025-10-27","broken","2025-10-27","","test_order_form","",""
"","2525","Cookie-баннер закрывается и не мешает работе","tests","2025-10-27","passed","2025-10-27","","test_homepage_ui","",""
